,country,code,year,contributions,personal,corporate,consumption,rgdp_pc,debt_to_gdp,population,population_growth,property_rights,integrity,tax_burden,spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corruption,gini
144,France,FR,2010,16.2,22.2,9.4,10.6,30690,85.3,64773169,0.004867,80,69,51.9,17.9,86.3,54.7,79.7,82.5,50,70,6.8,29.8
145,Germany,DE,2010,15.2,21,5.6,10.7,31940,82.3,81776936,-0.001532,90,79,58.3,41.4,89.6,39.9,79.9,87.5,85,60,7.9,29.3
146,Greece,EL,2010,10.9,13.6,6.5,11.9,20150,147.5,11121344,0.001289,60,47,65.9,41.9,77.4,55.1,77.6,82.5,60,60,3.5,32.9
147,Hungary,HU,2010,11.8,17.4,5.6,14.2,9960,80.2,10000020,-0.00226,65,51,68.6,25.9,76.8,67.6,74.1,87.5,75,70,4.7,24.1
148,Ireland,IE,2010,5,12.2,5.7,9.8,36770,86,4554763,0.004702,90,77,71.1,61.8,92.8,79,79,87.5,95,80,8,30.7
149,Italy,IT,2010,13,21.5,9.2,10.6,26930,119.2,59277414,0.003076,55,48,55.2,31.2,77.9,58.2,79,87.5,75,60,3.9,31.7
150,Latvia,LV,2010,8.6,14.4,2.8,11.2,8520,47.9,2097553,-0.020814,55,50,82.7,57.4,72.9,59.1,67,87.5,80,50,4.3,35.9
151,Lithuania,LT,2010,11.8,14.1,2.9,11.3,9050,36.2,3097292,-0.020965,55,46,84.6,63.5,82,58.5,70.8,87.5,75,80,5,37
152,Luxembourg,LU,2010,10.9,16.1,11.2,10.4,79160,20.2,506953,0.018254,90,83,65.9,58.5,75.1,40.4,78.9,87.5,95,80,8.5,27.9
153,Malta,MT,2010,5.6,10.2,9.4,12.3,16440,65.3,414512,0.004926,80,58,62.5,45.6,70,60,78.1,87.5,70,60,5.6,28.6
154,Netherlands,NL,2010,12.9,19.5,5,11,38470,59.3,16615390,0.005129,90,89,52,38.4,82.6,59.1,81,87.5,90,80,8.8,25.5
155,Poland,PL,2010,10.9,11.8,7.2,12.4,9400,53.5,38516689,0.009477,55,46,74.9,46.8,62.2,61.5,78.1,87.5,60,60,5.3,31.1
156,Portugal,PT,2010,8.6,12.6,6.4,11.4,16990,100.2,10573100,0.000459,70,61,61,37.1,80.5,37,79.7,87.5,70,60,6,33.7
157,Romania,RO,2010,8.7,11,4.1,11.3,6200,29.6,20246798,-0.005941,40,38,85.8,59.8,72.5,60.4,73.3,87.5,75,50,3.7,33.5
158,Slovakia,SK,2010,12,14.5,3.6,9.9,12560,41,5431024,0.002332,55,50,84,64.5,72.6,65.1,78.2,87.5,70,70,4.3,25.9
159,Slovenia,SI,2010,15.8,19.6,4.7,13.7,17750,38.3,2049261,0.003385,60,67,64,46.1,83.3,43.5,76,87.5,70,50,6.4,23.8
160,Spain,ES,2010,11.9,16.6,6.6,8.1,23040,60.5,46562483,0.004195,70,65,58.1,54.8,75.8,47.3,77.7,87.5,80,80,6.1,33.5
161,Sweden,SE,2010,2.6,24.2,6.1,12.7,39950,38.1,9378130,0.008526,95,93,36.7,17.3,95.5,54.9,79.5,87.5,85,80,9.2,25.5
162,Austria,AT,2011,14,23.1,6.5,11.6,36300,82.4,8388534,0.003279,90,79,50.3,28,72.8,78.2,82.9,87.6,80,70,7.8,27.4
